id,position,team,mpg,fgm,fga,fg%,ftm,fta,ft%,threepg,ppg,rpg,asg,spg,bpg,topg
D. Harris Dal ," PG,SG",Dal,18:51,2.6,6.4,.412,2.0,2.4,.835,1.1,8.4,1.8,2.1,0.7,0.2,1.1
T. Daniels Pho ," PG,SG",Pho,20:30,2.9,7.3,.403,0.7,0.8,.875,2.3,8.9,1.6,0.6,0.3,0.1,0.7
T. Booker Ind ," PF,C",Ind,17:07,2.6,5.0,.516,1.0,1.4,.710,0.1,6.3,4.7,1.2,0.4,0.3,0.9
M. Ginobili SA ," SG,SF",SA,19:55,3.1,7.1,.434,1.7,2.0,.840,1.0,8.9,2.2,2.5,0.7,0.2,1.6
T. Sefolosha Uta ," SG,SF",Uta,21:10,3.1,6.3,.492,1.2,1.4,.815,0.8,8.2,4.2,0.9,1.4,0.3,0.8
V. Carter Atl ," SG,SF",Atl,17:42,2.0,4.9,.403,0.5,0.6,.757,1.0,5.4,2.6,1.2,0.7,0.4,0.6
J. Martin Orl ," PF,C",Orl,22:46,3.0,6.8,.446,1.2,1.6,.767,0.5,7.7,4.4,1.0,0.5,0.7,1.2
C. Brewer OKC ," SG,SF",OKC,16:45,2.0,4.4,.449,0.9,1.3,.722,0.4,5.3,2.1,0.9,1.1,0.2,0.7
J. Jerebko GS ," SF,PF",GS,15:16,2.1,4.6,.466,0.6,0.8,.807,0.9,5.8,3.3,0.6,0.3,0.2,0.4
S. Labissiere Sac ," PF,C",Sac,20:39,3.4,7.6,.448,1.6,2.0,.805,0.3,8.7,4.8,1.2,0.4,0.8,1.2
S. Mejri Dal , C,Dal,11:58,1.4,2.2,.642,0.6,1.1,.576,0.0,3.5,4.0,0.6,0.4,1.1,0.6
T. Chandler Pho , C,Pho,25:05,2.6,4.1,.647,1.3,2.0,.624,0.0,6.5,9.1,1.2,0.3,0.6,1.3
Q. Acy Bkn ," SF,PF",Bkn,19:26,1.9,5.2,.356,0.7,0.9,.817,1.5,5.9,3.7,0.8,0.5,0.4,0.9
E. Udoh Uta ," PF,C",Uta,12:49,1.0,1.9,.500,0.7,0.9,.750,0.0,2.6,2.4,0.8,0.7,1.2,0.3
M. Chalmers Mem ," PG,SG",Mem,21:35,2.5,6.7,.379,1.8,2.1,.855,0.8,7.7,2.4,3.0,1.2,0.2,1.8
A. Harrison Mem ," PG,SG",Mem,23:39,3.2,7.7,.422,2.2,2.8,.780,0.8,9.5,2.3,3.2,0.7,0.5,1.4
C. Frye Cle ," PF,C",Cle,13:05,2.0,4.0,.491,0.3,0.4,.895,0.7,5.0,2.5,0.7,0.3,0.2,0.4
S. Livingston GS ," PG,SG",GS,16:00,2.4,4.8,.501,0.7,0.9,.820,0.0,5.5,1.8,2.0,0.5,0.3,0.8
T. Zeller Mil ," PF,C",Mil,16:51,2.8,5.1,.560,0.9,1.2,.722,0.2,6.7,4.6,0.7,0.2,0.5,0.7
D. Theis Bos ," PF,C",Bos,14:49,2.0,3.7,.541,1.0,1.3,.753,0.3,5.3,4.3,0.9,0.5,0.8,0.9
A. Abrines OKC , SG,OKC,15:07,1.5,3.9,.395,0.5,0.6,.848,1.1,4.7,1.5,0.4,0.5,0.1,0.3
