id,position,team,mpg,fgm,fga,fg%,ftm,fta,ft%,threepg,ppg,rpg,asg,spg,bpg,topg
C. LeVert Bkn , SF,Bkn,26:16,4.5,10.4,.435,1.9,2.6,.711,1.2,12.1,3.7,4.2,1.2,0.3,2.2
T. Johnson Mia ," PG,SG",Mia,28:29,4.3,9.9,.435,1.5,1.8,.822,1.7,11.7,3.4,2.3,0.8,0.5,1.1
M. Bagley III Sac , PF,Sac,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D. Schroder OKC , PG,OKC,30:59,7.5,17.1,.436,3.4,4.0,.849,1.1,19.4,3.1,6.2,1.1,0.1,2.7
K. Oubre Jr. Was , SF,Was,27:34,3.9,9.8,.403,2.4,2.9,.820,1.6,11.8,4.5,1.2,1.0,0.4,1.1
W. Cauley,Stein Sac ,Cauley,28:02,5.3,10.6,.502,2.1,3.4,.619,0.0,12.8,7.0,2.4,1.1,0.9,1.5
M. Fultz Phi ," PG,SG",Phi,18:00,3.2,7.9,.405,0.7,1.5,.476,0.0,7.1,3.1,3.8,0.8,0.3,1.2
J. Poeltl SA , C,SA,18:33,3.1,4.7,.659,0.7,1.2,.594,0.0,6.9,4.8,0.7,0.5,1.2,1.0
M. Gortat LAC , C,LAC,25:20,3.5,6.8,.518,1.3,2.0,.675,0.0,8.4,7.6,1.8,0.5,0.7,1.2
P. Siakam Tor , PF,Tor,20:38,3.1,6.1,.508,0.7,1.1,.621,0.4,7.3,4.5,2.0,0.8,0.5,0.8
M. Morris Was ," PF,C",Was,26:55,4.5,9.4,.480,1.4,1.8,.820,1.0,11.5,5.6,1.9,0.8,0.5,1.7
M. Harrell LAC ," PF,C",LAC,17:04,4.6,7.2,.635,1.8,2.9,.626,0.0,11.0,4.0,1.0,0.5,0.7,0.9
R. Gay SA ," SF,PF",SA,21:40,4.4,9.4,.471,2.0,2.5,.772,0.6,11.5,5.1,1.3,0.8,0.7,1.4
J. Jackson Pho ," SG,SF",Pho,25:26,5.1,12.1,.417,2.3,3.6,.634,0.7,13.1,4.6,1.5,1.0,0.5,1.9
D. Favors Uta ," PF,C",Uta,27:58,5.1,9.1,.563,1.8,2.8,.651,0.2,12.3,7.2,1.3,0.7,1.1,1.1
P. Beverley LAC ," PG,SG",LAC,30:16,4.4,10.8,.403,1.3,1.5,.824,2.2,12.2,4.1,2.9,1.7,0.5,2.3
E. Moore NO ," SG,SF",NO,31:33,5.2,10.1,.508,0.6,0.8,.706,1.6,12.5,2.9,2.3,1.0,0.1,1.2
W. Ellington Mia ," SG,SF",Mia,26:27,3.7,9.1,.407,0.9,1.0,.859,2.9,11.2,2.8,1.0,0.7,0.1,0.7
D. Gallinari LAC ," SF,PF",LAC,31:54,4.9,12.2,.398,3.9,4.1,.931,1.7,15.3,4.8,2.0,0.6,0.5,1.2
J. Lamb Cha ," SG,SF",Cha,24:33,4.8,10.4,.457,2.2,2.6,.861,1.2,12.9,4.1,2.3,0.8,0.4,1.2
W. Matthews Dal ," SG,SF",Dal,33:52,4.5,11.1,.406,1.3,1.6,.822,2.4,12.7,3.1,2.7,1.2,0.3,1.3
K. Olynyk Mia ," PF,C",Mia,23:24,4.2,8.4,.497,1.8,2.3,.770,1.4,11.5,5.7,2.7,0.8,0.5,1.9
A. Aminu Por ," SF,PF",Por,30:00,3.3,8.4,.395,0.9,1.2,.738,1.8,9.3,7.6,1.2,1.1,0.6,1.1
K. Porzingis NY ," PF,C",NY,32:18,8.1,18.5,.439,4.5,5.7,.793,1.9,22.7,6.6,1.2,0.8,2.4,1.9
C. Sexton Cle , PG,Cle,-,-,-,-,-,-,-,-,-,-,-,-,-,-
M. Belinelli SA ," SG,SF",SA,24:18,4.2,9.6,.441,1.9,2.0,.908,1.9,12.1,1.9,1.9,0.8,0.2,1.2
D. Green Tor ," SG,SF",Tor,25:35,3.1,8.0,.387,0.7,0.9,.769,1.7,8.6,3.6,1.6,0.9,1.1,1.1
L. Kennard Det , SG,Det,20:06,2.8,6.4,.443,0.9,1.0,.855,1.1,7.6,2.4,1.7,0.6,0.2,0.9
T. Gibson Min ," PF,C",Min,33:12,5.2,9.0,.577,1.7,2.3,.768,0.1,12.2,7.1,1.2,0.8,0.7,1.1
R. Bullock Det ," SG,SF",Det,27:55,4.3,8.8,.489,0.6,0.8,.796,2.0,11.3,2.5,1.5,0.8,0.2,0.8
J. Crowder Uta ," SF,PF",Uta,26:09,3.4,8.4,.404,1.5,1.9,.818,1.4,9.7,3.4,1.2,0.8,0.3,0.9
D. Carroll Bkn ," SF,PF",Bkn,29:52,4.5,10.8,.414,2.6,3.4,.764,2.0,13.5,6.6,2.0,0.8,0.4,1.4
T. Burke NY , PG,NY,21:46,5.4,10.7,.503,1.0,1.6,.649,1.1,12.8,2.0,4.7,0.7,0.1,1.2
T. Lyles Den , PF,Den,19:00,3.7,7.5,.491,1.4,2.0,.706,1.1,9.9,4.8,1.2,0.4,0.5,0.8
E. Ilyasova Mil ," SF,PF",Mil,25:04,4.0,8.9,.452,1.5,2.0,.778,1.3,10.9,5.9,1.3,0.9,0.4,1.0
K. Knox NY ," SF,PF",NY,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D. Cousins GS ," PF,C",GS,36:13,8.5,18.0,.470,6.1,8.2,.746,2.2,25.2,12.9,5.4,1.6,1.6,5.0
T. Warren Pho , SF,Pho,32:52,8.1,16.4,.498,3.0,3.9,.757,0.3,19.6,5.1,1.3,1.0,0.6,1.3
A. Bradley LAC ," PG,SG",LAC,31:06,5.6,13.6,.414,1.4,1.8,.768,1.6,14.3,2.5,2.0,1.1,0.2,2.2
M. Smart Bos ," PG,SG",Bos,29:54,3.5,9.5,.367,1.8,2.5,.729,1.4,10.2,3.5,4.8,1.3,0.4,2.4
T. Jones Min , PG,Min,17:52,1.8,4.0,.457,0.9,1.0,.877,0.5,5.1,1.6,2.8,1.2,0.1,0.7
K. O'Quinn Ind ," PF,C",Ind,18:00,2.9,5.0,.585,1.3,1.6,.772,0.1,7.1,6.1,2.1,0.5,1.3,1.3
D. Wright Tor ," PG,SG",Tor,20:49,2.9,6.3,.465,1.4,1.7,.829,0.8,8.0,2.9,2.9,1.0,0.5,1.1
J. Green Mem ," PF,C",Mem,27:57,4.1,8.9,.457,1.5,2.0,.721,0.8,10.3,8.4,1.4,0.6,0.5,1.4
P. Mills SA , PG,SA,25:43,3.4,8.3,.411,1.3,1.4,.890,1.9,10.0,1.9,2.8,0.7,0.1,1.3
C. Lee NY ," SG,SF",NY,30:24,4.5,9.9,.454,1.5,1.6,.919,1.5,12.0,2.9,2.4,1.1,0.2,1.1
D. Bertans SA ," PF,C",SA,14:05,2.1,4.8,.440,0.5,0.6,.816,1.2,5.9,2.0,1.0,0.3,0.4,0.5
C. Osman Cle ," SF,PF",Cle,10:57,1.5,3.0,.484,0.4,0.8,.565,0.5,3.9,2.0,0.7,0.4,0.0,0.5
B. Portis Chi ," PF,C",Chi,22:28,5.2,11.1,.471,1.6,2.1,.769,1.1,13.2,6.8,1.7,0.7,0.3,1.4
J. Winslow Mia ," SF,PF",Mia,24:42,3.0,7.2,.424,1.0,1.5,.635,0.7,7.8,5.4,2.2,0.8,0.5,1.1
G. Hill Cle ," PG,SG",Cle,27:00,3.5,7.7,.460,1.6,2.1,.786,1.3,10.0,2.7,2.8,0.9,0.4,1.3
R. Rondo LAL , PG,LAL,26:12,3.6,7.6,.468,0.4,0.7,.543,0.8,8.3,4.0,8.2,1.1,0.2,2.3
P. Tucker Hou , SF,Hou,27:49,2.1,5.4,.390,0.5,0.7,.717,1.4,6.1,5.6,0.9,1.0,0.3,0.9
D. Miller NO ," SG,SF",NO,23:43,2.6,5.9,.444,0.7,0.8,.866,1.8,7.8,2.0,1.4,0.3,0.2,0.7
F. Ntilikina NY , PG,NY,21:49,2.3,6.4,.364,0.6,0.9,.721,0.6,5.9,2.3,3.2,0.8,0.2,1.7
D. Sabonis Ind ," PF,C",Ind,24:27,4.6,8.9,.514,2.3,3.0,.750,0.2,11.6,7.7,2.0,0.5,0.4,1.9
P. Gasol SA ," PF,C",SA,23:33,3.7,8.1,.458,2.1,2.7,.756,0.6,10.1,8.0,3.1,0.3,1.0,1.4
J. Grant Orl ," PG,SG",Orl,22:46,2.8,6.8,.416,1.9,2.5,.745,0.8,8.4,2.3,4.6,0.9,0.1,1.2
J. Holiday Chi ," SG,SF",Chi,31:29,4.0,10.9,.371,1.9,2.3,.823,2.2,12.2,4.0,2.1,1.1,0.4,1.3
M. Harkless Por , SF,Por,21:29,2.5,5.0,.495,0.7,1.0,.712,0.8,6.5,2.7,0.9,0.8,0.7,0.7
S. Gilgeous,Alexander LAC ,Gilgeous,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A. Len Atl ," PF,C",Atl,20:12,3.1,5.5,.566,2.3,3.3,.684,0.0,8.5,7.5,1.2,0.4,0.9,1.1
H. Giles Sac ," PF,C",Sac,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A. Rivers Was ," PG,SG",Was,33:46,5.6,13.2,.424,1.7,2.6,.642,2.2,15.1,2.4,4.0,1.2,0.3,1.8
R. Holmes Pho ," PF,C",Pho,15:32,2.8,5.0,.560,0.8,1.2,.661,0.1,6.5,4.4,1.3,0.4,0.6,0.5
S. Curry Por ," PG,SG",Por,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R. Hood Cle ," SG,SF",Cle,26:54,5.4,12.5,.429,1.9,2.2,.860,2.1,14.7,2.8,1.6,0.8,0.2,1.2
S. Johnson Det ," SG,SF",Det,27:24,3.0,8.1,.375,1.6,2.1,.772,1.0,8.7,3.7,1.6,1.4,0.2,1.1
K. Korver Cle ," SG,SF",Cle,21:33,3.0,6.6,.459,0.9,1.0,.889,2.2,9.2,2.3,1.2,0.4,0.4,0.8
D. White SA , PG,SA,8:07,0.9,1.9,.485,0.8,1.2,.700,0.5,3.2,1.5,0.5,0.2,0.2,0.4
W. Chandler Phi ," SG,SF",Phi,31:39,3.8,8.5,.445,1.2,1.5,.772,1.2,10.0,5.4,2.1,0.6,0.5,1.2
C. Joseph Ind , PG,Ind,26:56,3.1,7.4,.424,0.9,1.1,.745,0.8,7.9,3.2,3.2,1.0,0.2,1.1
Z. Collins Por ," PF,C",Por,15:49,1.7,4.4,.398,0.4,0.6,.643,0.5,4.4,3.3,0.8,0.3,0.5,0.9
B. Adebayo Mia ," PF,C",Mia,19:51,2.5,4.9,.512,1.9,2.6,.721,0.0,6.9,5.5,1.5,0.5,0.6,1.0
I. Smith Det , PG,Det,24:55,4.7,9.8,.486,1.0,1.4,.698,0.4,10.9,2.7,4.4,0.8,0.2,1.3
L. Stephenson LAL ," SG,SF",LAL,22:31,3.7,8.6,.427,1.0,1.5,.661,0.8,9.2,5.2,2.9,0.6,0.2,1.6
L. Kornet NY ," PF,C",NY,16:15,2.5,6.3,.392,0.4,0.6,.727,1.4,6.7,3.2,1.3,0.3,0.8,0.6
W. Hernangomez Cha , C,Cha,10:18,1.9,3.4,.555,1.2,1.9,.656,0.1,5.1,3.8,0.7,0.4,0.3,0.7
T. Snell Mil ," SG,SF",Mil,27:19,2.5,5.7,.435,0.5,0.6,.792,1.4,6.9,1.9,1.3,0.6,0.4,0.5
D. Nwaba Cle ," SG,SF",Cle,23:30,2.9,6.0,.478,1.9,2.9,.655,0.3,7.9,4.7,1.5,0.8,0.4,1.1
G. Dieng Min ," PF,C",Min,16:53,2.4,4.9,.479,1.0,1.3,.775,0.2,5.9,4.6,0.9,0.6,0.5,0.7
G. Monroe Tor ," PF,C",Tor,20:22,4.3,7.6,.565,1.7,2.3,.739,0.0,10.3,6.9,2.2,0.9,0.5,1.8
F. Kaminsky Cha ," PF,C",Cha,23:16,3.9,9.1,.429,2.0,2.5,.799,1.3,11.1,3.6,1.6,0.5,0.2,0.8
N. Bjelica Sac , PF,Sac,20:28,2.6,5.5,.461,0.5,0.7,.800,1.1,6.8,4.1,1.3,0.7,0.2,0.8
O. Anunoby Tor ," SF,PF",Tor,20:00,2.2,4.7,.471,0.5,0.8,.629,1.0,5.9,2.5,0.7,0.7,0.2,0.6
J. Simmons Orl ," SG,SF",Orl,29:25,5.1,11.0,.465,2.7,3.5,.768,1.0,13.9,3.5,2.5,0.8,0.2,2.1
M. Monk Cha , SG,Cha,13:32,2.4,6.7,.360,0.5,0.6,.842,1.3,6.7,1.0,1.4,0.3,0.1,0.8
J. Clarkson Cle ," PG,SG",Cle,23:16,5.3,11.8,.451,1.9,2.3,.800,1.4,13.9,2.7,2.7,0.7,0.1,1.6
M. Chriss Hou ," PF,C",Hou,21:07,2.8,6.6,.423,1.3,2.2,.608,0.8,7.7,5.5,1.2,0.7,1.0,1.5
J. Lin Atl ," PG,SG",Atl,25:00,5.0,12.0,.417,7.0,7.0,1.000,1.0,18.0,0.0,4.0,0.0,0.0,3.0
Z. Randolph Sac ," PF,C",Sac,25:31,6.1,12.9,.473,1.4,1.8,.785,0.9,14.5,6.7,2.2,0.7,0.2,2.0
M. Morris Bos ," SF,PF",Bos,26:46,4.9,11.3,.429,2.3,2.9,.805,1.6,13.6,5.4,1.3,0.6,0.2,1.2
J. Barea Dal ," PG,SG",Dal,23:17,4.4,10.0,.439,1.2,1.5,.784,1.7,11.6,2.9,6.3,0.5,0.0,2.1
D. Waiters Mia ," SG,SF",Mia,30:40,5.4,13.7,.398,1.7,2.3,.739,1.7,14.3,2.6,3.8,0.8,0.3,2.3
E. Turner Por ," SG,SF",Por,25:46,3.3,7.3,.447,1.2,1.4,.850,0.5,8.2,3.1,2.2,0.6,0.4,1.3
I. Clark NO ," PG,SG",NO,19:39,3.0,6.7,.448,0.6,0.8,.763,0.8,7.4,1.7,1.5,0.4,0.1,0.8
R. Anderson Pho ," PF,C",Pho,26:10,3.1,7.3,.431,1.1,1.4,.774,2.0,9.3,5.0,0.9,0.4,0.3,0.6
D. Powell Dal ," PF,C",Dal,21:08,3.2,5.4,.593,1.7,2.3,.719,0.4,8.5,5.6,1.2,0.8,0.4,0.7
M. Muscala Phi ," PF,C",Phi,20:02,2.7,5.9,.458,1.1,1.2,.919,1.2,7.6,4.3,1.0,0.6,0.5,0.8
A. Tolliver Min ," SF,PF",Min,22:16,2.8,6.0,.464,1.3,1.7,.797,2.0,8.9,3.1,1.1,0.4,0.3,0.7
K. Huerter Atl , SG,Atl,-,-,-,-,-,-,-,-,-,-,-,-,-,-
N. Noel OKC ," PF,C",OKC,15:46,1.8,3.5,.524,0.7,0.9,.750,0.0,4.4,5.6,0.7,1.0,0.7,0.9
C. Miles Tor ," SG,SF",Tor,19:02,3.2,8.6,.379,1.2,1.4,.835,2.3,10.0,2.2,0.8,0.5,0.3,0.6
D. McDermott Ind , SF,Ind,21:47,2.9,6.3,.467,0.8,1.0,.790,1.1,7.8,2.5,1.0,0.2,0.2,0.7
G. Green Hou ," SG,SF",Hou,22:39,4.1,10.1,.407,1.2,1.5,.850,2.7,12.1,3.2,0.6,0.6,0.4,0.8
D. Bender Pho ," PF,C",Pho,25:14,2.3,5.9,.386,0.5,0.6,.765,1.4,6.5,4.4,1.6,0.3,0.6,1.4
Y. Ferrell Sac ," PG,SG",Sac,27:49,3.8,8.9,.426,1.0,1.3,.796,1.6,10.2,3.0,2.5,0.8,0.1,1.0
J. Henson Mil ," PF,C",Mil,25:52,3.8,6.6,.572,1.2,2.1,.570,0.0,8.8,6.8,1.5,0.6,1.4,1.1
E. Davis Bkn ," PF,C",Bkn,18:51,2.2,3.7,.582,0.9,1.4,.667,0.0,5.3,7.4,0.5,0.4,0.7,0.8
D. Brooks Mem ," SG,SF",Mem,28:40,4.1,9.4,.440,1.5,2.0,.747,1.1,11.0,3.1,1.6,0.9,0.2,1.5
T. McConnell Phi , PG,Phi,22:24,2.8,5.5,.499,0.4,0.5,.795,0.4,6.3,3.0,4.0,1.2,0.2,1.5
