id,position,gp,team,fgm,fga,fg%,ftm,fta,ft%,threepa,threepm,ppg,orpg,drpg,rpg,apg,spg,bpg,topg,ddpg,tdpg
K. Middleton Mil,"SG,SF",80,MIL,6.9,15.8,.438,3.4,3.9,.867,6.7,2.6,19.8,0.7,5.5,6.2,4.5,1.4,0.1,2.3,0.0,0.0
L. Aldridge SA,"PF,C",73,SA,8.2,16.0,.511,4.1,4.9,.831,1.1,0.3,20.8,2.8,5.9,8.7,2.2,0.5,1.2,1.8,0.0,0.0
C. Capela Hou,"PF,C",73,HOU,6.8,10.4,.658,2.4,3.9,.610,0.0,0.0,16.0,4.2,7.8,12.0,1.3,0.6,1.7,1.3,0.0,0.0
D. DeRozan SA,"SG,SF",80,SA,8.1,17.1,.474,5.2,6.2,.835,0.9,0.2,21.6,0.7,5.2,5.9,5.4,1.1,0.3,2.5,0.0,0.0
E. Bledsoe Mil,"PG,SG",73,MIL,6.4,13.5,.475,2.9,3.6,.789,5.2,1.8,17.5,1.2,3.9,5.1,6.0,1.6,0.5,3.0,0.0,0.0
T. Harris Phi,"SF,PF",80,PHI,7.1,15.3,.466,3.2,3.8,.845,5.4,2.1,19.6,0.8,6.5,7.3,2.6,0.6,0.5,1.9,0.0,0.0
C. McCollum Por,"PG,SG",80,POR,8.3,18.2,.456,2.4,2.8,.844,6.5,2.5,21.5,0.9,3.2,4.1,3.4,1.0,0.4,1.7,0.0,0.0
B. Lopez Mil,C,77,MIL,4.6,10.3,.446,1.4,1.7,.822,6.8,2.4,13.0,0.4,4.6,5.0,1.2,0.6,2.2,1.0,0.0,0.0
K. Love Cle,"PF,C",66,CLE,6.2,14.7,.423,4.9,5.6,.879,7.6,2.8,20.2,1.6,10.0,11.6,2.5,0.3,0.3,1.8,0.0,0.0
J. Murray Den,"PG,SG",78,DEN,7.4,16.6,.447,2.8,3.2,.886,5.7,2.1,19.7,0.8,3.2,4.0,5.0,0.9,0.3,2.4,0.0,0.0
K. Lowry Tor,PG,70,TOR,4.4,11.0,.403,2.4,2.8,.842,6.6,2.3,13.5,0.6,3.9,4.5,7.1,1.3,0.3,2.6,0.0,0.0
A. Gordon Orl,"SF,PF",77,ORL,6.2,13.5,.459,2.6,3.6,.706,4.9,1.7,16.6,1.6,5.7,7.4,3.9,1.0,0.9,2.2,0.0,0.0
D. Favors NO,"PF,C",74,NO,5.2,9.4,.558,2.3,3.5,.656,1.2,0.3,13.0,3.0,5.1,8.0,1.4,0.9,1.6,1.3,0.0,0.0
Z. LaVine Chi,"PG,SG",72,CHI,8.4,18.4,.457,4.9,5.8,.842,5.7,2.1,23.8,0.6,4.0,4.6,4.0,0.9,0.4,2.9,0.0,0.0
B. Adebayo Mia,"PF,C",82,MIA,5.1,9.1,.558,2.6,3.5,.745,0.5,0.1,12.9,2.8,7.3,10.1,2.9,1.1,1.1,1.9,0.0,0.0
A. Horford Phi,"PF,C",67,PHI,4.9,9.6,.513,1.5,1.9,.811,2.9,1.1,12.5,1.6,4.5,6.1,4.1,0.9,1.3,1.5,0.0,0.0
D. Gallinari OKC,"SF,PF",58,OKC,6.2,14.3,.434,5.8,6.4,.911,6.2,2.4,20.7,0.8,5.2,6.0,2.4,0.5,0.4,1.6,0.0,0.0
J. Isaac Orl,"SF,PF",73,ORL,4.0,8.9,.450,1.9,2.3,.827,4.0,1.4,11.4,1.4,4.5,6.0,1.1,1.1,1.5,1.1,0.0,0.0
J. Richardson Phi,"SG,SF",76,PHI,6.1,14.4,.424,2.5,3.0,.846,6.5,2.4,17.1,0.7,2.6,3.3,3.3,1.1,0.8,1.6,0.0,0.0
M. Brogdon Ind,"PG,SG",69,IND,6.4,13.1,.485,2.7,3.0,.913,4.3,1.7,17.2,1.1,3.8,5.0,4.6,0.8,0.4,1.6,0.0,0.0
J. Randle NY,"PF,C",76,NY,7.8,14.8,.527,4.7,6.5,.720,2.8,0.9,21.2,2.2,6.3,8.5,3.3,0.7,0.6,2.9,0.0,0.0
T. Bryant Was,C,75,WAS,5.4,8.9,.605,1.9,2.5,.761,1.8,0.6,13.2,2.0,6.0,7.9,1.6,0.4,1.2,1.1,0.0,0.0
J. Valanciunas Mem,C,74,MEM,6.8,12.4,.545,3.6,4.6,.778,1.1,0.3,17.5,2.4,7.2,9.7,2.0,0.4,1.5,2.1,0.0,0.0
V. Oladipo Ind,"PG,SG",60,IND,7.2,16.2,.445,3.1,3.9,.788,5.8,2.0,19.5,0.6,5.0,5.6,4.5,1.6,0.3,2.4,0.0,0.0
S. Gilgeous-Alexander OKC,"PG,SG",81,OKC,4.5,9.8,.459,2.2,2.7,.820,2.0,0.7,12.0,1.0,3.0,4.0,4.5,1.4,0.6,1.9,0.0,0.0
K. Oubre Jr. Pho,SF,71,PHO,5.7,13.0,.440,2.8,3.5,.805,5.6,1.8,16.1,1.1,4.0,5.1,1.8,1.5,0.9,1.6,0.0,0.0
M. Bagley III Sac,PF,72,SAC,7.0,13.6,.517,3.5,5.3,.670,2.2,0.8,18.3,2.9,5.6,8.5,1.1,0.6,1.3,1.8,0.0,0.0
J. Morant Mem,PG,72,MEM,5.6,13.8,.404,2.3,3.0,.778,5.1,1.6,15.1,0.6,3.2,3.8,7.1,1.0,0.4,3.0,0.0,0.0
T. Rozier Cha,"PG,SG",81,CHA,6.0,15.2,.397,2.5,3.1,.803,5.9,2.1,16.7,0.6,5.2,5.8,4.4,1.3,0.4,2.1,0.0,0.0
W. Carter Jr. Chi,C,73,CHI,4.9,9.8,.503,2.4,2.9,.820,1.6,0.5,12.8,2.2,5.7,7.9,2.2,0.7,1.6,1.7,0.0,0.0
L. Nance Jr. Cle,"PF,C",70,CLE,4.0,7.6,.529,1.5,2.1,.701,1.7,0.6,10.1,2.6,6.0,8.7,3.4,1.6,1.0,1.5,0.0,0.0
M. Bridges Cha,SF,82,CHA,4.6,10.0,.460,1.7,2.2,.768,3.7,1.3,12.1,1.2,4.4,5.6,1.6,1.0,0.8,0.9,0.0,0.0
G. Hayward Bos,"SG,SF",72,BOS,5.5,12.0,.462,2.4,2.8,.844,4.7,1.7,15.1,0.8,4.1,4.9,4.1,0.9,0.4,1.6,0.0,0.0
S. Adams OKC,C,79,OKC,6.5,10.3,.632,2.2,4.1,.544,0.0,0.0,15.2,5.7,5.3,11.0,1.6,1.5,1.0,1.7,0.0,0.0
H. Whiteside Por,C,72,POR,5.1,9.0,.569,1.8,3.2,.558,0.0,0.0,12.0,3.4,7.4,10.8,0.5,0.6,1.8,1.3,0.0,0.0
M. Gasol Tor,C,75,TOR,4.3,9.6,.448,1.6,2.1,.771,3.0,1.1,11.4,0.9,6.0,6.9,4.5,0.9,1.0,1.7,0.0,0.0
D. Murray SA,PG,70,SA,4.2,9.4,.442,2.2,2.9,.733,1.2,0.4,10.9,1.9,6.0,7.9,4.5,1.8,0.6,2.3,0.0,0.0
F. VanVleet Tor,PG,75,TOR,4.4,10.8,.411,1.6,1.9,.852,5.2,2.0,12.5,0.3,2.4,2.7,5.1,0.9,0.3,1.3,0.0,0.0
D. Sabonis Ind,"PF,C",77,IND,6.7,11.9,.564,3.4,4.6,.744,0.5,0.2,17.1,3.0,8.2,11.2,3.4,0.8,0.5,2.5,0.0,0.0
