id,position,gp,team,fgm,fga,fg%,ftm,fta,ft%,threepa,threepm,ppg,orpg,drpg,rpg,apg,spg,bpg,topg,ddpg,tdpg
J. Poeltl SA,C,78,SA,3.0,4.5,.655,0.8,1.4,.580,0.0,0.0,6.8,2.8,3.6,6.4,1.4,0.4,1.3,0.8,0.0,0.0
E. Payton NY,PG,64,NY,3.7,8.3,.442,1.1,1.5,.716,2.1,0.7,9.1,1.0,3.5,4.4,5.9,0.9,0.3,2.3,0.0,0.0
D. Bacon Cha,SG,74,CHA,4.0,8.9,.451,1.2,1.6,.771,3.0,1.2,10.4,0.3,2.8,3.1,1.6,0.7,0.2,0.6,0.0,0.0
R. Jackson Det,"PG,SG",72,DET,5.2,12.7,.414,2.3,2.7,.848,6.0,2.1,14.9,0.5,2.0,2.5,4.0,0.6,0.1,2.0,0.0,0.0
R. Rondo LAL,PG,68,LAL,3.4,8.1,.422,0.4,0.7,.630,2.7,0.9,8.2,0.6,3.9,4.6,6.9,1.0,0.1,2.4,0.0,0.0
D. Schroder OKC,PG,76,OKC,5.4,12.7,.427,2.4,2.9,.833,4.2,1.4,14.7,0.4,2.8,3.3,4.2,0.8,0.1,2.3,0.0,0.0
J. Culver Min,SF,73,MIN,4.1,9.2,.449,1.7,2.3,.726,2.5,0.8,10.8,0.6,2.7,3.3,1.9,0.6,0.2,1.2,0.0,0.0
T. Ariza Sac,"SG,SF",68,SAC,3.4,8.5,.404,1.5,1.9,.791,5.0,1.8,10.1,0.6,3.7,4.3,2.9,1.0,0.2,1.2,0.0,0.0
I. Zubac LAC,C,72,LAC,4.5,7.7,.577,2.1,2.6,.822,0.0,0.0,11.0,2.3,5.0,7.4,1.3,0.3,1.0,1.4,0.0,0.0
T. Brown Was,"SG,SF",75,WAS,4.3,10.2,.419,1.2,1.7,.679,4.1,1.4,11.2,1.3,4.1,5.4,3.0,0.8,0.2,1.1,0.0,0.0
J. Crowder Mem,"SF,PF",75,MEM,3.8,9.3,.414,1.8,2.4,.746,5.9,1.9,11.4,0.7,4.0,4.7,1.6,0.9,0.4,1.0,0.0,0.0
R. Kurucs Bkn,SF,70,BKN,4.7,10.7,.443,1.7,2.1,.805,4.6,1.5,12.7,1.3,4.4,5.7,1.2,1.0,0.6,1.8,0.0,0.0
M. Morris Det,"PF,C",74,DET,4.3,9.8,.434,1.5,1.9,.790,4.1,1.5,11.5,1.2,4.1,5.4,1.6,0.7,0.4,1.1,0.0,0.0
J. Hayes NO,C,71,NO,2.9,4.5,.636,1.3,1.7,.760,0.4,0.1,7.1,1.4,2.9,4.2,0.5,0.4,1.2,0.5,0.0,0.0
A. Aminu Orl,"SF,PF",72,ORL,2.8,6.8,.414,1.7,2.0,.832,3.2,1.1,8.4,1.3,5.7,7.0,1.2,0.8,0.4,0.8,0.0,0.0
T. Jones Mem,PG,75,MEM,2.5,5.7,.432,0.7,0.9,.844,1.8,0.6,6.3,0.3,1.4,1.7,4.1,1.0,0.1,0.6,0.0,0.0
M. Morris NY,"SF,PF",79,NY,4.2,9.9,.426,1.7,2.1,.807,4.3,1.6,11.7,0.9,4.6,5.6,1.3,0.5,0.3,1.1,0.0,0.0
C. Reddish Atl,PG,72,ATL,2.9,7.1,.403,0.9,1.1,.802,4.0,1.4,8.0,0.3,2.1,2.5,0.9,0.8,0.3,1.5,0.0,0.0
C. White Chi,PG,68,CHI,2.8,6.6,.426,1.3,1.6,.817,2.2,0.7,7.6,0.2,2.0,2.2,3.0,0.7,0.2,1.8,0.0,0.0
J. Johnson Mia,"SF,PF",72,MIA,3.5,7.8,.453,1.0,1.4,.689,3.0,1.0,9.0,0.4,3.2,3.6,2.8,0.7,0.6,1.5,0.0,0.0
N. Powell Tor,"SG,SF",74,TOR,4.2,9.1,.460,1.4,1.7,.802,3.9,1.4,11.1,0.4,2.8,3.1,2.1,0.9,0.3,1.5,0.0,0.0
S. Curry Dal,"PG,SG",73,DAL,4.0,8.8,.454,0.8,1.0,.861,4.7,2.1,10.9,0.5,1.8,2.3,1.2,0.7,0.2,1.2,0.0,0.0
J. Nurkic Por,C,25,POR,4.7,9.4,.498,3.4,4.6,.730,0.4,0.0,12.8,2.8,5.7,8.5,2.7,0.9,1.3,2.1,0.0,0.0
L. Kennard Det,SG,75,DET,4.5,10.1,.447,1.3,1.5,.871,5.2,2.1,12.5,0.2,3.3,3.5,2.5,0.5,0.2,1.1,0.0,0.0
D. Hunter Atl,SF,77,ATL,3.3,7.1,.460,1.1,1.4,.780,1.6,0.6,8.3,0.5,2.9,3.4,1.3,1.4,0.2,0.9,0.0,0.0
N. Bjelica Sac,PF,68,SAC,2.9,6.3,.467,0.8,1.0,.788,2.7,1.1,7.7,1.3,3.4,4.7,1.6,0.6,0.6,0.9,0.0,0.0
M. Beasley Den,"PG,SG",81,DEN,3.6,8.0,.452,0.6,0.7,.810,4.4,1.7,9.5,0.4,1.8,2.2,1.0,0.6,0.1,0.6,0.0,0.0
M. Monk Cha,SG,76,CHA,4.1,10.8,.385,1.6,1.9,.852,6.1,2.1,12.0,0.3,2.2,2.5,2.3,0.7,0.4,1.6,0.0,0.0
T. Hardaway Jr. Dal,"SG,SF",69,DAL,4.4,11.6,.381,2.1,2.5,.823,6.2,2.1,13.0,0.4,2.5,2.9,1.9,0.7,0.1,1.4,0.0,0.0
J. Parker Atl,"SF,PF",59,ATL,4.4,8.7,.505,1.5,2.1,.732,2.4,0.8,11.1,1.0,4.2,5.2,1.9,0.6,0.4,1.8,0.0,0.0
D. House Jr. Hou,SG,76,HOU,3.1,7.1,.444,1.6,2.0,.809,5.0,1.9,9.8,0.7,3.2,3.9,1.1,0.6,0.3,1.0,0.0,0.0
M. Morris Den,PG,81,DEN,4.0,8.1,.485,0.8,0.9,.829,2.7,1.1,9.8,0.4,1.8,2.2,3.4,0.8,0.0,0.6,0.0,0.0
A. Burks GS,"PG,SG",68,GS,3.9,9.3,.419,2.2,2.7,.841,3.5,1.3,11.4,0.6,3.9,4.5,2.4,0.7,0.4,1.2,0.0,0.0
K. Thompson GS,"SG,SF",17,GS,6.2,13.4,.463,1.4,1.7,.828,6.4,2.6,16.4,0.4,2.8,3.2,2.0,0.9,0.3,1.2,0.0,0.0
K. Dunn Chi,"PG,SG",58,CHI,3.6,8.5,.419,0.9,1.2,.761,1.6,0.6,8.6,0.3,2.8,3.2,4.7,1.1,0.4,1.8,0.0,0.0
R. Williams Bos,PF,32,BOS,1.1,1.6,.706,0.3,0.5,.600,0.0,0.0,2.5,0.8,1.7,2.5,0.2,0.3,1.2,0.3,0.0,0.0
J. Green LAC,"PF,C",71,LAC,3.0,6.5,.468,1.1,1.4,.804,2.4,0.9,8.1,1.4,4.1,5.5,0.7,0.6,0.5,1.2,0.0,0.0
T. Johnson Pho,"PG,SG",57,PHO,3.5,8.6,.410,1.6,2.1,.780,4.2,1.5,10.1,0.6,2.3,2.8,3.1,0.9,0.4,1.2,0.0,0.0
P. Connaughton Mil,"SG,SF",78,MIL,2.9,6.4,.458,0.6,0.7,.772,3.7,1.3,7.7,1.1,3.6,4.7,2.3,0.6,0.5,0.6,0.0,0.0
R. Hood Por,"SG,SF",68,POR,4.4,9.9,.448,2.0,2.3,.858,3.5,1.3,12.1,0.4,1.9,2.3,1.9,0.9,0.2,0.8,0.0,0.0
M. Thybulle Phi,SF,71,PHI,1.8,4.6,.394,0.6,0.7,.827,2.6,0.8,5.1,0.3,1.9,2.2,1.3,1.4,0.7,1.0,0.0,0.0
G. Hill Mil,"PG,SG",68,MIL,3.5,7.6,.461,1.4,1.7,.803,3.1,1.1,9.5,0.8,2.2,3.0,3.0,1.0,0.2,1.0,0.0,0.0
D. Smith Jr. NY,"PG,SG",70,NY,5.1,11.7,.435,1.7,2.8,.622,3.7,1.2,13.1,0.6,2.2,2.8,4.5,1.2,0.4,2.8,0.0,0.0
M. Plumlee Den,"PF,C",80,DEN,3.1,5.0,.613,1.3,2.2,.581,0.1,0.0,7.5,1.9,4.1,5.9,2.8,0.8,1.0,1.4,0.0,0.0
M. Bamba Orl,C,68,ORL,2.8,5.7,.500,0.9,1.5,.630,1.6,0.5,7.1,1.5,4.0,5.5,0.9,0.3,1.5,1.0,0.0,0.0
J. Okogie Min,SG,76,MIN,3.1,7.5,.420,1.8,2.4,.751,3.2,1.0,9.0,0.6,2.6,3.2,1.3,1.3,0.5,0.9,0.0,0.0
I. Thomas Was,PG,58,WAS,3.9,10.3,.375,2.2,2.8,.787,4.5,1.4,11.4,0.5,0.8,1.3,2.4,0.5,0.1,1.9,0.0,0.0
M. Harkless LAC,SF,65,LAC,2.4,5.0,.489,0.6,0.9,.639,1.5,0.5,6.0,1.0,2.5,3.4,1.0,0.9,0.7,0.6,0.0,0.0
J. Clarkson Cle,"PG,SG",80,CLE,5.5,12.5,.442,1.6,2.0,.810,4.7,1.6,14.3,0.9,2.0,2.9,2.1,0.6,0.1,1.4,0.0,0.0
A. Holiday Ind,PG,71,IND,3.0,7.3,.417,1.2,1.4,.847,3.5,1.2,8.5,0.1,1.7,1.9,2.8,0.6,0.4,1.1,0.0,0.0
K. Caldwell-Pope LAL,"SG,SF",77,LAL,3.4,8.2,.413,1.4,1.7,.833,4.7,1.7,9.9,0.5,2.1,2.6,1.2,0.8,0.1,0.7,0.0,0.0
W. Matthews Mil,"SG,SF",67,MIL,3.7,9.0,.407,1.7,2.1,.829,5.2,2.0,11.0,0.4,1.8,2.2,2.1,0.8,0.2,1.2,0.0,0.0
A. Caruso LAL,SG,55,LAL,1.9,4.2,.450,1.2,1.5,.753,1.2,0.5,5.4,0.5,1.1,1.6,1.9,0.6,0.2,1.0,0.0,0.0
D. Howard LAL,"PF,C",58,LAL,4.1,6.6,.629,2.5,4.4,.570,0.0,0.0,10.8,2.5,6.1,8.6,0.4,0.7,1.0,1.6,0.0,0.0
T. Thompson Cle,"PF,C",71,CLE,4.6,8.4,.545,1.4,2.3,.602,0.0,0.0,10.5,3.8,6.3,10.1,1.9,0.6,0.4,1.3,0.0,0.0
A. McKinnie GS,PF,72,GS,1.9,3.8,.487,0.4,0.7,.562,1.6,0.6,4.7,1.1,2.3,3.4,0.4,0.2,0.2,0.4,0.0,0.0
N. Vonleh Min,PF,71,MIN,1.9,4.3,.452,1.1,1.5,.694,1.3,0.4,5.4,1.1,4.0,5.1,1.3,0.5,0.5,0.9,0.0,0.0
R. O'Neale Uta,SF,82,UTA,2.1,4.4,.477,0.4,0.6,.708,2.1,0.8,5.4,0.3,3.2,3.5,1.5,0.7,0.3,0.9,0.0,0.0
M. Leonard Mia,"PF,C",64,MIA,2.2,4.2,.520,0.7,0.9,.821,2.0,0.8,5.9,0.8,3.1,4.0,1.3,0.2,0.2,0.7,0.0,0.0
H. Giles Sac,"PF,C",66,SAC,3.8,7.3,.517,1.2,1.8,.631,0.4,0.1,8.8,1.3,3.2,4.5,1.8,0.6,0.5,1.5,0.0,0.0
J. Green Uta,"SF,PF",75,UTA,3.1,7.4,.426,2.1,2.4,.863,3.0,1.0,9.4,0.7,3.0,3.7,1.6,0.5,0.5,1.2,0.0,0.0
G. Bitadze Ind,C,62,IND,2.1,3.9,.533,1.2,1.7,.673,0.9,0.3,5.6,0.9,2.3,3.2,0.3,0.2,0.7,0.8,0.0,0.0
J. Bell Min,"PF,C",68,MIN,1.5,2.8,.516,0.4,0.6,.610,0.0,0.0,3.3,0.8,1.9,2.7,1.1,0.3,0.8,0.6,0.0,0.0
A. Iguodala Mem,"SG,SF",61,MEM,1.9,3.9,.489,0.5,0.8,.612,1.8,0.6,4.9,0.6,2.6,3.2,2.8,0.8,0.7,0.7,0.0,0.0
B. Brown Jr. Det,SG,74,DET,1.7,4.2,.398,0.6,0.8,.750,1.3,0.3,4.3,0.6,1.9,2.5,1.2,0.5,0.5,0.6,0.0,0.0
D. Waiters Mia,"SG,SF",53,MIA,4.1,10.5,.393,0.6,1.0,.630,6.1,2.2,11.0,0.2,2.5,2.7,2.8,0.7,0.2,1.5,0.0,0.0
B. Marjanovic Dal,C,58,DAL,2.5,4.2,.602,1.6,2.1,.770,0.2,0.1,6.7,1.4,2.8,4.2,0.9,0.3,0.4,0.9,0.0,0.0
K. Knox NY,"SF,PF",78,NY,4.4,11.5,.387,2.1,2.8,.733,4.6,1.5,12.5,0.8,3.4,4.2,1.0,0.5,0.3,1.4,0.0,0.0
M. Kidd-Gilchrist Cha,SF,70,CHA,2.3,5.0,.456,1.3,1.8,.748,0.9,0.3,6.2,1.3,2.3,3.5,0.9,0.5,0.6,0.6,0.0,0.0
K. Faried Hou,"PF,C",22,HOU,3.1,5.1,.607,1.3,1.9,.667,0.5,0.1,7.6,1.9,3.0,4.8,0.4,0.3,0.5,0.6,0.0,0.0
J. Jackson Mem,"SG,SF",50,MEM,4.3,10.2,.421,1.7,2.6,.643,2.7,0.9,11.1,0.6,3.6,4.2,2.3,0.9,0.6,2.4,0.0,0.0
G. Dieng Min,"PF,C",70,MIN,2.3,4.6,.486,1.1,1.3,.813,0.7,0.2,5.8,1.0,2.8,3.8,0.9,0.6,0.5,0.7,0.0,0.0
M. Wagner Was,PF,43,WAS,1.7,4.0,.415,1.0,1.2,.811,1.8,0.5,4.8,0.4,1.6,2.0,0.6,0.3,0.3,0.9,0.0,0.0
N. Alexander-Walker NO,SG,78,NO,2.9,6.6,.440,1.3,1.7,.786,2.9,1.0,8.1,0.4,1.9,2.3,2.2,0.8,0.2,1.4,0.0,0.0
T. Gibson NY,"PF,C",74,NY,3.2,6.0,.537,1.5,2.0,.772,0.4,0.1,8.0,1.9,3.2,5.1,0.9,0.6,0.4,0.8,0.0,0.0
G. Williams Bos,PF,61,BOS,1.9,3.9,.498,1.4,1.9,.770,0.8,0.3,5.5,1.0,1.8,2.8,0.7,0.5,0.5,0.8,0.0,0.0
D. Brooks Mem,"SG,SF",72,MEM,4.2,9.7,.432,1.8,2.4,.749,3.2,1.1,11.2,0.7,1.7,2.4,1.3,0.8,0.3,1.5,0.0,0.0
G. Green Hou,"SG,SF",66,HOU,3.3,8.4,.395,0.8,1.0,.815,6.4,2.3,9.7,0.4,2.2,2.6,0.6,0.5,0.4,0.8,0.0,0.0
A. Simons Por,SG,77,POR,4.5,10.5,.430,1.8,2.7,.664,5.7,2.0,12.9,0.5,1.7,2.2,2.2,0.2,0.0,1.9,0.0,0.0
K. O'Quinn Phi,"PF,C",45,PHI,1.5,3.0,.507,0.4,0.5,.810,0.3,0.0,3.5,0.6,2.0,2.6,1.2,0.2,0.6,0.7,0.0,0.0
A. Bradley LAL,"PG,SG",59,LAL,3.0,7.2,.420,0.5,0.6,.829,2.9,1.1,7.6,0.5,1.6,2.1,1.8,0.5,0.2,1.1,0.0,0.0
S. Napier Min,PG,56,MIN,2.9,7.2,.402,1.9,2.3,.850,3.8,1.3,9.0,0.3,1.4,1.7,2.4,0.5,0.3,1.1,0.0,0.0
M. Hezonja Por,"SG,SF",64,POR,2.5,5.8,.436,1.1,1.4,.761,1.9,0.6,6.8,0.4,2.7,3.0,1.1,0.7,0.1,1.1,0.0,0.0
C. Joseph Sac,PG,82,SAC,2.5,5.8,.427,0.3,0.5,.730,1.8,0.6,5.9,0.4,2.5,3.0,3.4,1.0,0.2,0.8,0.0,0.0
D. Theis Bos,"PF,C",66,BOS,2.2,4.0,.549,0.8,1.2,.737,1.0,0.4,5.7,1.3,2.1,3.4,1.0,0.3,0.6,0.5,0.0,0.0
M. Fultz Orl,"PG,SG",65,ORL,3.5,8.2,.432,1.1,1.9,.590,1.0,0.3,8.5,1.3,2.2,3.6,3.4,0.9,0.3,1.3,0.0,0.0
T. Snell Det,"SG,SF",77,DET,3.0,6.8,.446,0.7,0.8,.852,3.8,1.5,8.3,0.5,2.4,2.9,1.3,0.5,0.3,0.4,0.0,0.0
D. Jones Jr. Mia,SF,69,MIA,2.5,5.1,.496,1.2,1.9,.644,1.4,0.4,6.7,1.5,2.3,3.8,0.6,0.7,0.7,0.7,0.0,0.0
R. Hollis-Jefferson Tor,"SF,PF",72,TOR,3.7,8.5,.433,2.2,3.1,.710,0.9,0.2,9.8,1.5,4.0,5.4,1.7,0.8,0.5,1.2,0.0,0.0
G. Robinson III GS,"SG,SF",47,GS,1.6,3.7,.420,0.7,0.9,.800,1.3,0.4,4.2,0.4,1.1,1.5,0.4,0.3,0.2,0.4,0.0,0.0
R. Lopez Mil,C,68,MIL,2.6,4.8,.537,0.8,1.1,.736,0.5,0.1,6.0,1.3,1.4,2.7,0.8,0.1,0.7,0.8,0.0,0.0
C. Miles Was,"SG,SF",70,WAS,3.6,9.4,.384,1.4,1.7,.840,6.2,2.2,10.8,0.4,2.4,2.8,1.1,0.8,0.4,0.9,0.0,0.0
T. McConnell Ind,PG,78,IND,2.6,5.0,.509,0.4,0.4,.800,0.5,0.2,5.6,0.3,1.7,2.1,3.1,0.9,0.2,1.1,0.0,0.0
D. Carroll SA,"SF,PF",71,SA,3.3,8.1,.405,2.5,3.4,.739,4.4,1.5,10.6,1.0,3.9,4.9,1.2,0.4,0.1,1.0,0.0,0.0
D. Windler Cle,SF,58,CLE,2.9,6.3,.468,1.3,1.6,.856,2.9,1.2,8.4,0.8,2.8,3.6,0.8,0.4,0.2,1.4,0.0,0.0
Z. Smith Phi,SG,69,PHI,3.0,7.1,.423,1.4,1.8,.777,3.4,1.3,8.6,0.7,2.2,2.8,2.0,0.4,0.4,1.2,0.0,0.0
C. Anthony Chi,"SF,PF",15,CHI,2.8,7.1,.393,0.9,1.3,.737,3.7,1.3,7.8,0.5,2.7,3.2,0.3,0.3,0.4,0.5,0.0,0.0
A. Baynes Pho,C,51,PHO,2.1,4.4,.471,1.0,1.2,.855,1.2,0.4,5.6,1.7,3.0,4.7,1.1,0.2,0.7,0.8,0.0,0.0
M. Chriss GS,"PF,C",43,GS,1.6,4.2,.372,0.7,1.0,.711,1.7,0.4,4.2,0.9,2.4,3.3,0.5,0.4,0.3,0.8,0.0,0.0
M. Muscala OKC,"PF,C",71,OKC,2.8,6.8,.410,1.4,1.6,.842,4.8,1.7,8.7,1.1,3.5,4.6,1.4,0.4,0.7,0.9,0.0,0.0
S. Johnson Tor,"SG,SF",70,TOR,2.7,6.9,.393,0.8,1.0,.771,3.4,1.0,7.2,0.5,2.9,3.4,1.4,0.9,0.2,1.3,0.0,0.0
D. Bembry Atl,SF,76,ATL,2.5,5.4,.463,0.8,1.2,.667,1.5,0.5,6.3,0.5,2.7,3.1,1.8,0.9,0.4,1.2,0.0,0.0
D. Melton Mem,"PG,SG",50,MEM,2.0,5.1,.391,0.4,0.6,.750,1.9,0.6,5.0,0.5,2.2,2.7,3.2,1.4,0.5,1.5,0.0,0.0
L. Walker IV SA,SG,68,SA,2.1,5.1,.400,0.9,1.1,.829,1.5,0.5,5.6,0.0,1.9,1.9,1.0,0.8,0.3,0.4,0.0,0.0
C. Boucher Tor,"PF,C",28,TOR,1.2,2.7,.447,0.5,0.5,.867,1.3,0.4,3.3,0.6,1.4,2.0,0.1,0.2,0.9,0.2,0.0,0.0
B. Fernando Atl,C,55,ATL,1.5,2.7,.537,0.9,1.2,.754,0.2,0.1,3.9,0.9,2.3,3.3,0.3,0.3,0.7,0.9,0.0,0.0
A. Crabbe Atl,"SG,SF",68,ATL,2.8,7.3,.386,0.9,1.1,.784,5.1,1.9,8.4,0.3,2.6,2.9,0.9,0.5,0.2,0.9,0.0,0.0
J. Okafor NO,C,56,NO,2.4,4.2,.571,0.7,1.1,.678,0.1,0.0,5.6,1.0,2.3,3.3,0.5,0.2,0.5,0.6,0.0,0.0
K. Korver Mil,"SG,SF",68,MIL,2.3,5.4,.437,0.7,0.8,.873,3.9,1.6,7.0,0.1,1.7,1.8,0.9,0.3,0.1,0.7,0.0,0.0
J. Hart NO,"SG,SF",66,NO,1.9,4.5,.427,0.5,0.8,.692,2.7,1.0,5.4,0.3,2.1,2.4,0.9,0.6,0.4,0.6,0.0,0.0
A. Zizic Cle,C,62,CLE,2.8,4.8,.587,1.4,1.9,.725,0.0,0.0,7.1,1.6,3.1,4.7,0.8,0.2,0.3,0.9,0.0,0.0
E. Ilyasova Mil,"SF,PF",71,MIL,2.7,6.0,.444,0.9,1.2,.795,2.5,0.9,7.2,1.5,3.3,4.7,0.8,0.5,0.3,0.8,0.0,0.0
T. Lyles SA,PF,72,SA,3.1,6.8,.452,1.1,1.6,.711,2.7,0.9,8.1,0.6,2.8,3.4,1.2,0.4,0.3,0.9,0.0,0.0
A. Roberson OKC,"SG,SF",55,OKC,1.8,3.7,.495,0.3,0.8,.341,1.0,0.2,4.1,1.0,2.4,3.5,1.0,0.9,0.6,0.6,0.0,0.0
K. Durant Bkn,"SF,PF",5,BKN,5.2,11.4,.456,4.0,4.4,.909,5.4,1.8,16.2,0.8,4.2,5.0,3.0,0.6,0.6,2.0,0.0,0.0
J. Holiday Ind,"SG,SF",80,IND,2.7,6.9,.394,0.9,1.0,.877,4.1,1.5,7.8,0.4,2.5,2.9,1.3,1.1,0.3,0.9,0.0,0.0
P. Mills SA,PG,82,SA,2.9,7.0,.413,0.9,1.1,.865,4.3,1.6,8.4,0.3,1.7,1.9,2.6,0.5,0.1,1.0,0.0,0.0
B. Forbes SA,PG,80,SA,3.1,7.1,.440,0.6,0.7,.857,3.7,1.5,8.3,0.2,2.0,2.1,1.6,0.4,0.0,0.7,0.0,0.0
M. Belinelli SA,"SG,SF",76,SA,3.1,7.5,.419,1.3,1.5,.883,4.7,1.8,9.4,0.2,2.1,2.3,1.6,0.4,0.1,0.9,0.0,0.0
R. Holmes Sac,"PF,C",60,SAC,2.4,4.0,.600,1.3,1.8,.700,0.2,0.0,6.1,1.2,2.3,3.5,0.6,0.4,0.8,0.6,0.0,0.0
R. Bullock NY,"SG,SF",66,NY,3.3,7.8,.422,0.9,1.1,.824,5.2,2.0,9.5,0.3,2.0,2.3,1.7,0.5,0.2,0.9,0.0,0.0
G. Temple Bkn,"SG,SF",72,BKN,2.2,5.3,.422,0.8,1.1,.744,2.8,1.0,6.3,0.3,1.9,2.2,1.1,0.8,0.3,0.8,0.0,0.0
R. Arcidiacono Chi,PG,50,CHI,1.1,2.5,.440,0.5,0.6,.867,1.3,0.5,3.2,0.2,1.1,1.3,1.6,0.4,0.0,0.4,0.0,0.0
E. Davis Uta,"PF,C",80,UTA,2.4,4.0,.608,1.4,2.1,.649,0.0,0.0,6.2,2.9,6.3,9.2,0.8,0.5,0.6,0.8,0.0,0.0
W. Ellington NY,"SG,SF",69,NY,2.9,7.1,.407,0.6,0.8,.827,5.8,2.2,8.6,0.2,1.4,1.7,1.1,0.8,0.1,0.6,0.0,0.0
E. Moore NO,"SG,SF",72,NO,3.8,7.9,.485,0.6,0.9,.730,2.6,1.1,9.4,0.5,1.4,1.9,1.6,0.6,0.1,0.9,0.0,0.0
D. Finney-Smith Dal,"SF,PF",80,DAL,2.8,6.7,.425,1.0,1.3,.740,3.2,1.0,7.7,1.8,3.2,4.9,1.2,0.9,0.5,0.9,0.0,0.0
D. Miller NO,"SG,SF",8,NO,1.1,3.1,.360,0.2,0.4,.667,2.2,0.8,3.2,0.1,0.6,0.8,0.9,0.1,0.1,0.4,0.0,0.0
V. Carter Atl,"SG,SF",55,ATL,1.8,4.5,.402,0.5,0.6,.743,3.0,1.1,5.2,0.3,1.6,1.9,0.8,0.4,0.3,0.5,0.0,0.0
D. Dotson NY,SG,61,NY,2.2,5.4,.413,0.5,0.8,.717,2.6,0.9,5.9,0.3,1.8,2.0,1.0,0.4,0.1,0.5,0.0,0.0
L. Galloway Det,"PG,SG",73,DET,1.8,4.6,.386,0.6,0.8,.818,3.0,1.1,5.3,0.4,1.0,1.3,0.7,0.3,0.1,0.2,0.0,0.0
J. Jackson Dal,SF,77,DAL,2.6,5.7,.460,0.7,0.9,.761,2.9,1.0,7.0,0.5,2.0,2.5,1.1,0.4,0.2,0.3,0.0,0.0
J. Jerebko GS,"SF,PF",50,GS,1.9,4.2,.441,0.8,1.0,.812,2.2,0.8,5.3,0.9,2.6,3.4,1.1,0.3,0.2,0.5,0.0,0.0
Y. Ferrell Sac,"PG,SG",66,SAC,1.9,4.3,.435,0.7,0.8,.870,1.8,0.7,5.1,0.2,1.2,1.3,1.7,0.4,0.0,0.5,0.0,0.0
S. Harrison Chi,PG,55,CHI,2.1,4.6,.445,1.0,1.3,.726,1.0,0.3,5.3,0.4,2.1,2.4,1.5,1.0,0.3,0.7,0.0,0.0
E. Turner Atl,"SG,SF",77,ATL,2.4,5.2,.453,1.0,1.2,.771,0.6,0.2,5.8,0.4,3.4,3.8,3.3,0.4,0.2,1.3,0.0,0.0
J. Wall Was,PG,8,WAS,4.5,10.8,.419,2.1,3.0,.708,3.2,1.0,12.1,0.2,2.0,2.2,5.4,1.0,0.5,2.4,0.0,0.0
C. Diallo Pho,"PF,C",55,PHO,1.9,3.2,.600,0.6,0.8,.767,0.1,0.0,4.4,0.9,3.0,3.9,0.4,0.3,0.4,0.6,0.0,0.0
E. Mudiay Uta,PG,64,UTA,3.2,7.6,.420,1.4,1.9,.754,2.2,0.7,8.5,0.3,1.7,2.0,2.3,0.4,0.2,1.4,0.0,0.0
J. Ennis III Phi,"SG,SF",64,PHI,1.8,4.0,.436,0.8,1.1,.732,2.1,0.7,5.0,0.8,1.7,2.5,0.6,0.6,0.3,0.5,0.0,0.0
T. Craig Den,"SG,SF",75,DEN,2.1,4.8,.442,0.7,0.9,.700,2.5,0.8,5.7,1.2,2.3,3.5,1.0,0.5,0.6,0.6,0.0,0.0
A. Rivers Hou,"PG,SG",74,HOU,3.2,7.7,.413,0.7,1.3,.579,4.4,1.5,8.6,0.3,1.9,2.2,2.3,0.6,0.3,0.9,0.0,0.0
W. Chandler Bkn,"SF,PF",47,BKN,2.1,5.0,.414,0.4,0.4,.810,2.9,1.0,5.6,0.9,3.1,4.0,1.5,0.4,0.4,0.9,0.0,0.0
I. Shumpert Hou,"SG,SF",38,HOU,1.7,4.6,.382,0.4,0.4,.824,2.8,0.9,4.8,0.3,1.6,1.8,1.1,0.6,0.2,0.5,0.0,0.0
D. McDermott Ind,SF,70,IND,2.4,5.0,.480,0.8,0.9,.846,2.4,1.0,6.6,0.2,1.1,1.3,0.8,0.2,0.1,0.5,0.0,0.0
M. Scott Phi,PF,76,PHI,2.4,5.6,.423,0.3,0.4,.697,3.3,1.4,6.4,0.6,3.1,3.7,0.9,0.3,0.2,0.6,0.0,0.0
J. Lin Tor,"PG,SG",44,TOR,2.6,6.1,.424,1.9,2.4,.808,2.1,0.7,7.8,0.2,1.8,2.0,2.6,0.5,0.1,1.4,0.0,0.0
T. Burke Phi,PG,55,PHI,2.9,6.6,.439,1.2,1.5,.829,1.9,0.7,7.7,0.3,0.9,1.2,1.9,0.4,0.1,0.6,0.0,0.0
T. Ferguson OKC,"SG,SF",76,OKC,2.6,6.1,.426,0.6,0.7,.782,4.1,1.4,7.2,0.5,1.5,2.0,1.0,0.6,0.2,0.7,0.0,0.0
J. Crawford Pho,"SG,SF",51,PHO,2.1,5.4,.396,1.2,1.4,.870,2.5,0.8,6.2,0.1,0.9,1.0,2.8,0.4,0.1,1.2,0.0,0.0
A. Tolliver Por,"SF,PF",65,POR,1.5,4.0,.382,0.7,0.9,.783,3.3,1.2,5.0,0.2,2.5,2.7,0.7,0.3,0.3,0.6,0.0,0.0
J. Layman Min,PF,79,MIN,3.3,7.1,.473,0.9,1.2,.742,3.0,1.0,8.6,0.9,2.7,3.6,0.9,0.5,0.5,0.8,0.0,0.0
J. Hernangomez Den,"SF,PF",62,DEN,1.6,3.7,.441,0.8,1.0,.794,2.1,0.7,4.8,0.8,2.4,3.1,0.6,0.3,0.3,0.4,0.0,0.0
